area,surface,source_path,pull_logic,derivation_or_fallback,impact_on_scoring_or_readout
Cross-cutting,Area mapping fallback,src/lib/areaMapping.ts,mapInputToAreaKey(),Unknown input_key/sub_group maps by group_key defaults (foundation->positioning, execution->marketing, else cx),Can bias area score distribution when inputs are sparse or loosely tagged
Cross-cutting,Source confidence tags,src/lib/sourceConfidence.ts,buildSourceConfidenceSignals(),Evidence confidence inferred from uploaded file count/tags and area_scores_json tested signals,Changes confidence badges and implementation-tested signals even with minimal hard evidence
Positioning,Blank state labels + notes,src/hooks/useDynamicScoring.ts,useDynamicScoring(),When no inputs returns static area labels and "No data yet" notes,Produces generic readout until inputs exist
Positioning,Adaptive label defaults,src/hooks/useDynamicScoring.ts,buildAreaLabels(),Labels start from defaults and are adjusted by simple substring rules in sub_group names,Can read generic if sub_group labels are generic or missing
Positioning,Fallback positioning canvas,src/views/Positioning/index.tsx,buildFallbackCanvas() via storedCanvas ?? fallbackCanvas,Uses foundation inputs when no positioning_canvases row exists,Positioning view shows derived placeholders instead of first-class artifact
Strategy,Constraint explanation templating,src/hooks/useDynamicScoring.ts,useDynamicScoring(),Constraint area computed as min(positioning,strategy) with templated explanation,Can sound formulaic when evidence is thin
Product,Public seed completeness,src/hooks/useInputs.ts,inferPublicSeed(),If completeness/status missing it seeds by key-specific defaults and uncertainty text checks,Influences score and next-move even before strong company evidence exists
Marketing,Contextualized input text rewrite,src/hooks/useInputs.ts,contextualizeInputText(),Rewrites nonprofit/not-applicable language to profile-specific market wording,May feel generic when profile='generic' and limited context exists
Sales,Derived routes fallback,src/views/Routes/useRoutes.ts,useRoutes(),If routes table empty it derives route cards directly from opportunities,Route titles/descriptions can become templated and generic
Customer Experience,Primary evidence detection by source_path markers,src/hooks/usePrimaryEvidenceSignal.ts,usePrimaryEvidenceSignal(),Primary/non-primary decided via source_path keyword lists,Customer evidence confidence can remain low unless markers are explicit
Job Steps,Legacy evidence inference,src/hooks/useJobSteps.ts,useJobSteps(),If evidence columns missing it infers evidence_status/evidence_basis from designed flag,Step evidence readout can be generic legacy text
Opportunities,Workflow status fallback,src/hooks/useOpportunities.ts,useOpportunities(),If workflow_status column missing it loads opportunities without workflow labels,Workflow lane readout degrades to generic defaults
Map Readout,Score fallback path,src/views/MapView/index.tsx,displayMojo/displayPotential/displayProjected,Prefers stored company scores else recomputes from scoreCompanyMojo using current artifacts,Map can show estimated/derived scores and generic score-status copy
Map Readout,Route card description fallback,src/views/MapView/index.tsx,mapRoutes memo,Uses "No route description yet" when short_description absent,Creates generic action guidance in map route cards
Job Steps + ODI,Market context fallback labels,src/views/JobSteps/index.tsx,market context helpers + sourcePathLabel(),Uses fallback title/subtitle/unknown source labels when ODI context incomplete,Market context panel can look generic despite partial data
Research Pipeline,Managed outcome generic guards,supabase/functions/research-company/index.ts,managed outcome normalization/rewrite pipeline,Detects and rewrites generic phrases; also inserts fallback evidence_basis text when needed,Still emits fallback wording when upstream evidence is thin
