Task,Phase,Track,Status,Owner,Priority,Due,Path,Definition of Done,Dependencies,Notes
Deploy launch site to production,W1-2,Platform,Backlog,,P0,,All,"Domain resolves, HTTPS active, CTA works","DNS access",""
Deploy MojoMap app/API to VPS,W1-2,Platform,Backlog,,P0,,All,"app and api reachable via HTTPS, healthcheck OK","Server provisioned",""
Configure private database access,W1-2,Security,Backlog,,P0,,All,"DB not publicly reachable, app can connect privately","VPS + DB",""
Enable backups + restore test,W1-2,Ops,Backlog,,P0,,All,"Daily backup enabled and one restore test documented","DB live",""
Secrets manager + key rotation baseline,W1-2,Security,Backlog,,P0,,All,"No production secrets on laptops/repos","Account access",""
Lock down admin access (MFA),W1-2,Security,Backlog,,P0,,All,"MFA enabled for all admin accounts","Team setup",""
Keep LLM endpoint private,W1-2,Security,Backlog,,P0,,All,"No public model port; only private path","Network config",""
Intake -> email -> autorun E2E test,W1-2,Product,Backlog,,P0,,All,"One test submission completes full pipeline","Env vars set",""
Build pilot onboarding checklist,W3-4,Go-To-Market,Backlog,,P1,,All,"Reusable checklist used for first customer","Initial pipeline",""
Add run/error telemetry dashboard,W3-4,Ops,Backlog,,P1,,All,"Can see success/failure rate and recent errors","Logging enabled",""
Add queue/retry for autorun jobs,W5-6,Platform,Backlog,,P1,,All,"Failed jobs retry with visibility and terminal status","Telemetry",""
Define data retention policy v1,W3-4,Security,Backlog,,P1,,All,"Policy doc approved and applied to storage/logs","Stakeholder signoff",""
Customer outcome capture template,W5-6,Product,Backlog,,P1,,All,"Structured notes for before/after outcomes","Pilot calls running",""
Create incident runbook (common failures),W3-4,Ops,Backlog,,P1,,All,"Playbook exists for intake/email/scheduler/autorun issues","Known failure modes",""
Weekly KPI scorecard in Notion,W3-4,Product,Backlog,,P1,,All,"Metrics updated weekly with owners","Tracking events",""
Staging environment setup,W7-8,Platform,Backlog,,P2,,Slow Growth,"Separate staging URL + env + smoke checks","Prod stable",""
Cost optimization pass,W7-8,Ops,Backlog,,P2,,Slow Growth,"Monthly run-rate reduced or justified","6 weeks of usage",""
Security posture one-pager,W7-8,Fundraising,Backlog,,P1,,Investment,"Concise controls summary for prospects/investors","Baseline controls",""
Architecture + data-flow diagram,W7-8,Fundraising,Backlog,,P1,,Investment,"Diagram reviewed and current","Stack stable",""
Risk register + mitigation plan,W7-8,Fundraising,Backlog,,P1,,Investment,"Top risks ranked with owners/dates","Team review",""
Compliance readiness roadmap (6 months),W7-8,Fundraising,Backlog,,P2,,Investment,"Milestones for pen test and SOC2-ready path","Strategy alignment",""
