property,notion_formula,notes,version
Positioning Gate,"round(100 * (0.5 * prop(""Positioning Coverage N"") + 0.25 * prop(""Baseline Support N"") + 0.15 * prop(""Ledger Coverage N"") + 0.1 * prop(""Positioning Completeness N"")) * 10) / 10","Positioning gate score",0.1.0
Customer Insight Gate,"round(100 * (0.2 * prop(""Customer Coverage N"") + 0.25 * prop(""Opp Coverage N"") + 0.2 * prop(""Underserved N"") + 0.2 * prop(""Customer Journey Health N"") + 0.15 * prop(""Customer Opp Coverage N"")) * 10) / 10","Customer insight gate score",0.1.0
Strategy Cascade Gate,"round(100 * (0.2 * prop(""Strategy Coverage N"") + 0.15 * prop(""Revenue Journey Health N"") + 0.15 * prop(""Ops Journey Health N"") + 0.15 * prop(""Baseline Support N"") + 0.1 * prop(""Strategy Opp Coverage N"") + 0.1 * prop(""Strategy Completeness N"") + 0.15 * prop(""Strategic Alignment N"")) * 10) / 10","Strategy cascade gate score",0.1.0
GTM Execution Gate,"round(100 * (0.3 * prop(""GTM Coverage N"") + 0.2 * prop(""Revenue Journey Health N"") + 0.15 * prop(""Revenue Opp Coverage N"") + 0.15 * prop(""Ops Opp Coverage N"") + 0.1 * prop(""Focus N"") + 0.1 * prop(""GTM Completeness N"")) * 10) / 10","GTM execution gate score",0.1.0
Gate Score,"round((1 / (0.3 / max(1, prop(""Positioning Gate"")) + 0.25 / max(1, prop(""Customer Insight Gate"")) + 0.25 / max(1, prop(""Strategy Cascade Gate"")) + 0.2 / max(1, prop(""GTM Execution Gate"")))) * 10) / 10","Weighted harmonic mean",0.1.0
Baseline Strength N,"max(0, min(1, 0.55 * min(1, prop(""Ledger Count"") / 12) + 0.45 * prop(""Conf Norm N"")))","Evidence baseline strength",0.1.0
Artifact Coverage N,"max(0, min(1, 0.35 * min(1, prop(""Inputs Count"") / 14) + 0.30 * min(1, prop(""Steps Count"") / 18) + 0.35 * min(1, prop(""Opps Count"") / 20)))","Artifact volume normalization",0.1.0
Evidence Multiplier,"round(max(0.6, min(1, 0.6 + 0.18 * prop(""Baseline Strength N"") + 0.22 * prop(""Artifact Coverage N""))) * 10) / 10","Live scoring multiplier",0.1.0
Initiative Focus Multiplier,"round(max(0.7, min(1, 0.7 + 0.3 * prop(""Initiative Focus Norm N""))) * 10) / 10","Initiative focus multiplier",0.1.0
Failure Correction Norm N,"max(0, min(1, 0.4 * ((prop(""Positioning Gate"") + prop(""Strategy Cascade Gate"")) / 200) + 0.3 * (prop(""Positioning Gate"") / 100) + 0.3 * (prop(""Customer Insight Gate"") / 100)))","Failure correction normalization",0.1.0
Failure Correction Multiplier,"round(max(0.6, min(1, 0.6 + 0.4 * prop(""Failure Correction Norm N""))) * 10) / 10","Failure correction multiplier",0.1.0
P Raw,"max(0, min(1, (prop(""Gate Score"") / 100) * prop(""Evidence Multiplier"") * prop(""Initiative Focus Multiplier"") * prop(""Failure Correction Multiplier"")))","Pre-curve probability",0.1.0
P Curve,"pow(prop(""P Raw""), prop(""Gamma""))","Gamma curve",0.1.0
Benchmark P Raw,"prop(""Market Baseline Typical"") / 100","Market baseline normalized",0.1.0
Advantage Points,"max(0, (prop(""P Raw"") - prop(""Benchmark P Raw"")) * 35)","Above-baseline contribution",0.1.0
Curve Points,"max(0, prop(""P Curve"") * 45)","Curve contribution",0.1.0
Mojo Score,"round(max(prop(""Market Baseline Typical""), min(100, prop(""Market Baseline Typical"") + prop(""Advantage Points"") + prop(""Curve Points""))))","Current state score",0.1.0
Potential Score,"round(max(0, min(100, prop(""Mojo Score"") + min(22, (100 - prop(""Mojo Score"")) * 0.35))))","Near-term lift",0.1.0
Projected Score,"round(max(0, min(100, max(prop(""Potential Score"") + 10, prop(""Mojo Score"") + min(42, (100 - prop(""Mojo Score"")) * 0.62)))))","Forward projection",0.1.0
Score Band,"if(prop(""Mojo Score"") < 25, ""Fragile"", if(prop(""Mojo Score"") < 45, ""Early"", if(prop(""Mojo Score"") < 65, ""Developing"", if(prop(""Mojo Score"") < 80, ""Strong"", ""Leading""))))","Optional label band",0.1.0
